CC(=C)Cc1cccc(c1)C ZINC02245307
Ic1ccc2c(c1)n(CCc1ccccc1)nc2 ZINC94205845
CCn1ncc(c1)C(=O)NCCc1ccc(cc1)O ZINC27938058
CN1CCN(CC1)S(=O)(=O)c1cccc(c1)C(=O)N(C)C ZINC47652361
COc1ccc2c(c1)[NH+]C(=O)C(=C2)CN(Cc1nnnn1C1CCCCC1)Cc1ccc2c(c1)OCO2 ZINC00927555
O=C(N[C@@H]1CCOc2c1cccc2)N[C@@H](c1ccc(cc1)F)CC(F)(F)F ZINC93292006
CCC[C@@H](NC(=O)[C@H]1CCCN(C1)C(=O)CSc1nncn1C(C)C)C ZINC50732992
COCCN(Cc1cnc(s1)CC)Cc1ccc(cc1)C#N ZINC92567630
COc1ccc(cc1NC(=O)C[N+]1C(=O)C2N(CNC2[N+](C1=O)CC(C)C)CC(C)C)C ZINC13133646
COC(=O)[C@@H](Sc1ccccc1C(=O)N[C@@H](c1ccccc1)C)C ZINC54847371
C[NH+](Cc1ccc(cc1)CNC(=O)N1CCCC1(C)C)C ZINC77512049
CCCCCOc1ccccc1[C@@H]1[C@@H](C(=O)Nc2ccccc2)C(=O)C[C@@]([C@@H]1C(=O)Nc1ccccc1)(C)O ZINC41007038
COc1ccc(cc1C)CC(=O)N1Cc2ccccc2OC[C@H]1Cn1cncc1 ZINC12128362
Cc1ccc(cc1NC(=O)CCCn1ccnn1)c1nc(no1)CC ZINC92423737
CCC[NH2+][C@@H](C(=O)O)C[N@@H+](C1CCCC1)CCC(C)C ZINC94851479
CNC(=O)C[C@@H](N(CC1CC(=O)C2C([NH+]1)C(C)CC(C2)C)C)C ZINC92003224
COc1cccc(c1)CNC(=O)CCNS(=O)(=O)c1ccc(cc1)C(C)(C)C ZINC25423284
O=C(N(C[C@H]1COCC1)C)Nc1ccc2c(c1)OCCCO2 ZINC78466466
CCC(=O)Nc1ccc(c(c1)NC(=O)N[C@@H]1CC[N@H+](CC1)C)Cl ZINC79205551
CC[NH+]1CCN(CC1)CCNC(=O)Nc1cccc2c1cccc2 ZINC31794229
O=C([C@@H]1CCCN1S(=O)(=O)c1ccc(s1)Cl)Nc1nnc(o1)c1ccc(cc1)C(F)(F)F ZINC38933721
CCCC[N@@H+]([C@@H](C(=O)N[C@H](c1ccc(cc1)F)C)C)C ZINC57832304
CCc1csc(n1)NC(=O)[C@@H]1CCCN1C(=O)c1ccccn1 ZINC80072988
CC[C@@H](NC(=O)CCN(C(=O)c1nccnc1)CC)C ZINC04503565
N#CCOc1cccc(c1)CC(=O)NCc1csc(n1)c1ccccc1 ZINC89642390
CCc1ccc2c(c1)sc(n2)N(C(=O)CCSc1ccccc1)Cc1cccnc1 ZINC09241936
CCc1cccc(c1NC(=O)N[C@@H]1CC[N@H+](CC1)C[C@@H]1COCC1)CC ZINC77181741
CCS(=O)(=O)c1ccccc1C(=O)Nc1ncc[n+]2c1[nH]cc2 ZINC69744899
C[C@H](C(C)C)NC(=O)c1cccc(n1)C(=O)N[C@H](C(C)C)C ZINC46671675
Cc1ccc2c(c1)c1c(CO2)cnn1CC(=O)N1CCCCCC1 ZINC06805870
CCc1onc(c1CC(=O)Nc1cc(ccc1C)NC(=O)C)CC ZINC87105059
OCCCCC(=O)Nc1c(F)cc(cc1F)Br ZINC92175379
CC[C@@H](COC(=O)[C@H](CC)C)C ZINC02038278
OC/C(=C\c1ccc(c(c1)O)OC)/C ZINC86210224
CCCCN(C1=NC=NC2=NC=N[C@@H]12)Cc1ccccc1 ZINC63280264
NC(=O)[C@H]1CCCN(C1)c1nc(CSc2ccccc2)nc2c1c(C)c(s2)C ZINC08063873
O=C(NCc1cnn(c1)C)NCc1ccc(cc1)F ZINC48909744
CCOC(=O)C1=C(N)n2c(=C([C@@H]1c1cccnc1)C(=O)OC)s/c(=C\c1cccnc1)/c2=O ZINC01835455
O=C(Nc1ccc(cc1)C(F)(F)F)CC[C@@H]1CCCN(C1)C(=O)CSc1ccccn1 ZINC11937379
CCn1c(nnc1c1ccco1)S[C@@H](C(=O)C)C ZINC57500351
COc1cc(OC)ccc1Nc1[nH+]cnc(c1N)Nc1ccc(cn1)C ZINC40754613
NCC#Cc1cnccc1C(=O)N1CCOC[C@H]1C ZINC91461546
Cc1cnc2c(c1)cccc2S(=O)(=O)N1CCC[C@H](C1)C1NCCN1 ZINC88777263
O=C(CN1C[C@H]([C@@H](C1)NS(=O)(=O)C)C(C)C)NCCc1ccccc1 ZINC82125977
CN(Cc1cccn1C)Cc1ccc(cc1)[S@@](=O)C ZINC93584834
COc1cccc(c1)C[N@@H+](Cc1cn(nc1c1cccnc1)C)C[C@H]1CCCO1 ZINC92511336
CCCN([C@H]1CCO[C@]2(C1)COCC2)CC(=O)OCC ZINC94410553
Oc1ccc(cc1)C[C@H](C(=O)N1CCn2c(C1)cnc2)c1ccccc1 ZINC72144035
